"","Inclusive","Filtered","Inclusive_R2","Filtered_R2"
"A",0.929366160900124,0.99397667420686,0.863721461026235,0.98798962886733
"B",0.949057359218607,0.995441026188243,0.900709871086996,0.990902836618701
"Z",0.94444111885733,0.990442707566485,0.891969026988486,0.980976756971629
"Y",0.896626087822389,0.989156072642851,0.803938341363682,0.97842973604623
"X",0.924605651223118,0.989736038273356,0.854895610273726,0.979577425457038
"all",0.926734074290168,0.991608229809941,0.858836044450455,0.983286881426804
