EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
Z2x59-3,2020,Pollen,2,,-1,FALSE,59,,3,,R74F05,,227,226,453,50.11037528,0,0,0.99,0.993,0.991,230,226,0,456,50.43859649,-3,3,0,0,-3,3,-0.328221215,0.328221215,0.993492658,-0.013129103,0,-0.00660066
Z2x59-5,2020,Pollen,2,,-1,FALSE,59,,5,,R74F05,,155,163,318,48.74213836,1,0.313,0.977,0.986,0.982,150,180,7,330,45.45454545,5,5,-17,17,-12,12,3.28759291,3.28759291,1.072327044,0.032786885,-0.099125364,-0.037037037
Z2x59-6,2020,Pollen,2,,-1,FALSE,59,,6,,R74F05,,161,177,338,47.63313609,0,0,0.994,0.986,0.99,160,176,0,336,47.61904762,1,1,1,1,2,2,0.014088476,0.014088476,1.000295858,0.00623053,0.005665722,0.005934718
Z2x60-1,2020,Pollen,2,,-1,FALSE,60,,1,,R114E05,,181,148,329,55.01519757,0,0,0.994,0.995,0.994,179,152,0,331,54.07854985,2,2,-4,4,-2,2,0.936647719,0.936647719,1.017320134,0.011111111,-0.026666667,-0.006060606
Z2x60-3,2020,Pollen,2,,-1,FALSE,60,,3,,R114E05,,189,189,378,50,0,0,0.991,0.992,0.992,188,189,0,377,49.86737401,1,1,0,0,1,1,0.132625995,0.132625995,1.002659574,0.00530504,0,0.002649007
Z2x60-4,2020,Pollen,2,,-1,FALSE,60,,4,,R114E05,,120,112,232,51.72413793,6,2.521,0.945,0.955,0.95,115,115,0,230,50,5,5,-3,3,2,2,1.724137931,1.724137931,1.034482759,0.042553191,-0.026431718,0.008658009
Z2x60-9,2020,Pollen,2,,-1,FALSE,60,,9,,R114E05,,124,123,247,50.20242915,0,0,0.986,0.985,0.986,121,118,0,239,50.62761506,3,3,5,5,8,8,-0.425185913,0.425185913,0.9916017,0.024489796,0.041493776,0.032921811
Z2x61-1,2020,Pollen,2,,-1,FALSE,61,,1,,R136B11,,170,153,323,52.63157895,0,0,0.993,0.995,0.994,169,156,0,325,52,1,1,-3,3,-2,2,0.631578947,0.631578947,1.012145749,0.005899705,-0.019417476,-0.00617284
Z2x62-1,2020,Pollen,2,,-1,FALSE,62,,1,,R136B11,,199,196,395,50.37974684,1,0.253,0.986,0.987,0.987,198,203,3,401,49.3765586,1,1,-7,7,-6,6,1.003188232,1.003188232,1.020317095,0.005037783,-0.035087719,-0.015075377
Z2x62-2,2020,Pollen,2,,-1,FALSE,62,,2,,R136B11,,194,192,386,50.25906736,4,1.026,0.981,0.977,0.979,194,200,0,394,49.23857868,0,0,-8,8,-8,8,1.020488677,1.020488677,1.020725389,0,-0.040816327,-0.020512821
