EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
A522-1x102,2021,Ear,522,,1,R138D09,102,,-1,,FALSE,,42,70,112,37.5,0,0,0.959,0.973,0.968,,,,,,,,,,,,,,,,,
A527-1x102,2021,Ear,527,,1,R87D08,102,,-1,,FALSE,,52,4,56,92.85714286,10,15.152,0.906,0.435,0.819,,,,,,,,,,,,,,,,,
A527-2x102,2021,Ear,527,,2,R87D08,102,,-1,,FALSE,,139,126,265,52.45283019,2,0.749,0.984,0.946,0.966,,,,,,,,,,,,,,,,,
A528-2x102,2021,Ear,528,,2,R167E04,102,,-1,,FALSE,,85,86,171,49.70760234,0,0,0.957,0.941,0.949,,,,,,,,,,,,,,,,,
A529-1x102,2021,Ear,529,,1,R173G05,102,,-1,,FALSE,,165,171,336,49.10714286,0,0,0.992,0.988,0.99,,,,,,,,,,,,,,,,,
A53-5x102,2021,Ear,53,,5,R02D11,102,,-1,,FALSE,,156,168,324,48.14814815,0,0,0.988,0.988,0.988,155,167,3,322,48.13664596,1,1,1,1,2,2,0.011502185,0.011502185,1.000238949,0.006430868,0.005970149,0.00619195
A530-1x102,2021,Ear,530,,1,R150D02,102,,-1,,FALSE,,185,1,186,99.46236559,0,0,0.983,0.997,0.983,,,,,,,,,,,,,,,,,
A531A-1x102,2021,Ear,531,A,1,R148B09,102,,-1,,FALSE,,87,85,172,50.58139535,1,0.578,0.981,0.974,0.977,,,,,,,,,,,,,,,,,
A537-1x102,2021,Ear,537,,1,R35A01,102,,-1,,FALSE,,225,197,422,53.31753555,0,0,0.99,0.97,0.981,,,,,,,,,,,,,,,,,
A540-1x102,2021,Ear,540,,1,R30D06,102,,-1,,FALSE,,134,143,277,48.37545126,4,1.423,0.966,0.962,0.964,,,,,,,,,,,,,,,,,
A540-2x102,2021,Ear,540,,2,R30D06,102,,-1,,FALSE,,62,89,151,41.05960265,1,0.658,0.955,0.965,0.961,,,,,,,,,,,,,,,,,
A540-4x102,2021,Ear,540,,4,R30D06,102,,-1,,FALSE,,91,85,176,51.70454545,0,0,0.99,0.966,0.978,,,,,,,,,,,,,,,,,
A542Ax102,2021,Ear,542,A,-1,R88D04,102,,-1,,FALSE,,103,101,204,50.49019608,0,0,0.976,0.946,0.961,,,,,,,,,,,,,,,,,
A543-2x102,2021,Ear,543,,2,R60D11,102,,-1,,FALSE,,206,179,385,53.50649351,2,0.517,0.986,0.979,0.983,,,,,,,,,,,,,,,,,
A544-2x102,2021,Ear,544,,2,R81A01,102,,-1,,FALSE,,202,222,424,47.64150943,0,0,0.992,0.972,0.982,,,,,,,,,,,,,,,,,
A544-3x102,2021,Ear,544,,3,R81A01,102,,-1,,FALSE,,109,125,234,46.58119658,1,0.426,0.957,0.965,0.961,,,,,,,,,,,,,,,,,
A545-1x102,2021,Ear,545,,1,R172H01,102,,-1,,FALSE,,67,57,124,54.03225806,1,0.8,0.906,0.958,0.93,,,,,,,,,,,,,,,,,
A545-2x102,2021,Ear,545,,2,R172H01,102,,-1,,FALSE,,82,61,143,57.34265734,1,0.694,0.98,0.954,0.969,,,,,,,,,,,,,,,,,
A547-1x102,2021,Ear,547,,1,R87A01,102,,-1,,FALSE,,129,125,254,50.78740157,1,0.392,0.989,0.987,0.988,,,,,,,,,,,,,,,,,
A547-2x102,2021,Ear,547,,2,R87A01,102,,-1,,FALSE,,80,85,165,48.48484848,0,0,0.994,0.991,0.993,,,,,,,,,,,,,,,,,
A547-3x102,2021,Ear,547,,3,R87A01,102,,-1,,FALSE,,56,74,130,43.07692308,0,0,0.967,0.962,0.964,,,,,,,,,,,,,,,,,
A548-1x102,2021,Ear,548,,1,R175E12,102,,-1,,FALSE,,127,35,162,78.39506173,1,0.613,0.989,0.946,0.979,,,,,,,,,,,,,,,,,
A549-3x102,2021,Ear,549,,3,R62D03,102,,-1,,FALSE,,85,75,160,53.125,0,0,0.989,0.97,0.98,,,,,,,,,,,,,,,,,
A549-4x102,2021,Ear,549,,4,R62D03,102,,-1,,FALSE,,128,133,261,49.04214559,0,0,0.994,0.984,0.989,,,,,,,,,,,,,,,,,
A550-3x102,2021,Ear,550,,3,R31B03,102,,-1,,FALSE,,175,151,326,53.6809816,1,0.306,0.984,0.992,0.987,,,,,,,,,,,,,,,,,
A552-1x102,2021,Ear,552,,1,R103C07,102,,-1,,FALSE,,77,82,159,48.42767296,0,0,0.952,0.936,0.944,,,,,,,,,,,,,,,,,
