EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
Y19-1x1,2019,Ear,19,,1,R82A03,1,,-1,,FALSE,,98,121,219,44.74885845,2,0.905,0.978,0.978,0.978,,,,,,,,,,,,,,,,,
Y19-2x1,2019,Ear,19,,2,R82A03,1,,-1,,FALSE,,178,167,345,51.5942029,1,0.289,0.978,0.982,0.98,,,,,,,,,,,,,,,,,
Y19-3x1,2019,Ear,19,,3,R82A03,1,,-1,,FALSE,,135,145,280,48.21428571,2,0.709,0.977,0.969,0.973,,,,,,,,,,,,,,,,,
Y19-4x1,2019,Ear,19,,4,R82A03,1,,-1,,FALSE,,240,271,511,46.9667319,0,0,0.987,0.967,0.976,,,,,,,,,,,,,,,,,
Y19-5x1,2019,Ear,19,,5,R82A03,1,,-1,,FALSE,,200,211,411,48.66180049,0,0,0.986,0.989,0.988,,,,,,,,,,,,,,,,,
Y19-6x1,2019,Ear,19,,6,R82A03,1,,-1,,FALSE,,222,216,438,50.68493151,0,0,0.979,0.988,0.983,,,,,,,,,,,,,,,,,
Y1x231-2,2019,Pollen,1,,-1,FALSE,231,,2,,R06C04,,211,143,354,59.60451977,20,5.348,0.936,0.878,0.912,228,225,0,453,50.33112583,-17,17,-82,82,-99,99,9.273393946,9.273393946,1.184247696,-0.077448747,-0.445652174,-0.24535316
Y1x233A-1,2019,Other,1,,-1,FALSE,233,A,1,,R83B01 R82C05,TRUE,143,172,315,45.3968254,1,0.316,0.985,0.989,0.987,,,,,,,,,,,,,,,,,
Y1x233A-10,2019,Other,1,,-1,FALSE,233,A,10,,R83B01 R82C05,,211,229,440,47.95454545,0,0,0.99,0.984,0.987,,,,,,,,,,,,,,,,,
Y1x233A-12,2019,Other,1,,-1,FALSE,233,A,12,,R83B01 R82C05,,153,193,346,44.21965318,1,0.288,0.98,0.98,0.98,,,,,,,,,,,,,,,,,
