"","year","total_ears","passed","flagged","proportion_flagged","percentage_flagged","plotted_passed","plotted_flagged"
"1","A",1406,1134,272,0.193456614509246,19.3456614509246,683,170
"2","B",2366,2294,72,0.0304311073541843,3.04311073541843,169,61
"3","Z",480,418,62,0.129166666666667,12.9166666666667,400,51
"4","Y",977,819,158,0.16171954964176,16.171954964176,321,118
"5","X",560,536,24,0.0428571428571429,4.28571428571429,293,8
"6","all",5789,5201,588,0.101571946795647,10.1571946795647,1866,408
