"","Inclusive","Filtered","Inclusive_R2","Filtered_R2"
"A",0.929366160900124,0.99397667420686,0.863721461026235,0.98798962886733
"B",0.946385181487513,0.995296480217693,0.895644911739153,0.990615083533729
"Z",0.94444111885733,0.990442707566485,0.891969026988486,0.980976756971629
"Y",0.889146650317481,0.986267273531832,0.790581765770796,0.972723134839914
"X",0.904550893996897,0.992854101955852,0.818212319830586,0.985759267770562
"all",0.923735620011966,0.991662174554205,0.853287495678891,0.983393868441574
